PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,HRHR,RBIRBI,BBBB,SOSO,caret-upcaret-downSBcaret-upcaret-downSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS

1HughH NicolNicolX1‌‌‌
1974,SD,147,512,55,119,19,2,0,34,38,36,37,10,.232,.285,.277,.562
1991,NYM,72,278,45,71,7,5,1,17,39,47,37,14,.255,.347,.327,.674
2010,NYM,151,579,80,168,31,7,11,69,44,97,37,9,.290,.340,.425,.765
2014,KC,120,260,33,70,4,4,1,24,22,52,36,7,.269,.324,.327,.651
1969,CLE,146,557,75,143,26,3,11,45,49,58,36,6,.257,.314,.373,.687
1987,NYM,154,532,108,151,32,5,39,104,97,122,36,12,.284,.398,.583,.981
1915,CLE,154,570,101,154,14,17,3,67,70,82,36,15,.270,.353,.370,.723
1981,CWS,82,337,46,83,10,4,0,24,28,70,36,11,.246,.304,.300,.604
1909,CWS,139,491,71,140,23,13,1,55,51,,36,--,.285,.359,.391,.750
1908,CHC,126,416,83,125,19,6,0,37,66,,36,--,.300,.402,.375,.777
1986,MON,151,576,89,167,31,13,8,49,57,78,36,15,.290,.355,.431,.786

1999,SD,133,478,92,136,24,7,26,72,65,108,36,13,.285,.376,.527,.903
1995,CIN,133,484,91,148,36,6,28,99,69,122,36,12,.306,.397,.579,.976
1982,KC,121,448,79,121,11,3,3,51,48,46,36,9,.270,.343,.328,.671
2006,PHI,158,689,127,191,45,9,25,83,57,80,36,4,.277,.334,.478,.812
1892,CLE,145,608,119,167,15,14,6,66,67,59,36,--,.275,.348,.375,.723
1995,OAK,130,442,81,123,20,2,8,56,49,63,36,5,.278,.353,.387,.740
1886,NYG,122,491,82,134,17,5,2,81,19,46,36,--,.273,--,.340,--
1890,STL,75,314,68,101,9,12,9,75,26,,36,--,.322,.374,.513,.887
1986,PIT,113,413,72,92,26,3,16,48,65,102,36,7,.223,.330,.416,.746
1991,TEX,146,589,108,201,27,3,15,78,65,78,36,9,.341,.408,.474,.882
1895,WAS,117,409,80,114,19,8,6,57,68,39,36,--,.279,.392,.408,.800
1999,KC,145,583,101,179,39,9,14,77,67,50,36,6,.307,.379,.477,.856
1982,CWS,121,336,55,107,15,8,3,32,23,41,36,10,.318,.361,.438,.799
2005,CIN,103,369,69,100,19,3,4,21,51,59,36,10,.271,.371,.371,.742
1890,PHQ,91,347,71,83,17,6,4,58,59,50,36,--,.239,.364,.357,.721
1996,CIN,152,517,117,154,32,4,33,89,96,52,36,10,.298,.410,.567,.977
1895,PIT,125,519,114,160,17,6,1,58,47,19,36,--,.308,.375,.370,.745
1993,CHC,159,598,92,156,25,5,33,93,38,135,36,11,.261,.309,.485,.794
1891,BSR,65,243,76,75,9,15,3,51,63,27,36,--,.309,.460,.506,.966
1920,CIN,149,579,81,196,22,16,4,90,42,22,36,24,.339,.386,.453,.839
2014,DET,134,461,64,130,27,2,8,51,22,75,36,11,.282,.320,.401,.721
1887,WAS,58,212,33,55,8,2,1,18,8,8,36,--,.259,.293,.330,.623
1894,PHI,119,505,107,156,19,7,0,66,36,15,36,--,.309,.360,.374,.734
1914,PHA,148,573,101,156,12,9,3,43,87,46,36,32,.272,.379,.340,.719
1978,NYY,134,499,87,139,18,6,3,42,82,51,36,7,.279,.381,.357,.738
