Rk,Mgr,Yrs,From,To,W,L,W-L%,Ties,G>.500,G,Wpost,Lpost,W-L%post,BestFin,WrstFin,AvRk,Ejections,Plyof App,WSwon,PennWon,ASG,,Player/Manager
67,Bill Boyd,1,1875,1875,0,2,0,0,-2,2,0,0,,12,12,12,0,0,0,0,0,as player,plyr/mgr: 1875
68,Ken Boyer,3,1978,1980,166,190,0.466,1,-24,357,0,0,,3,5,3.9,4,0,0,0,0,as player,
69,Bill Bradley,2,1905,1914,97,98,0.497,3,-1,198,0,0,,5,5,5,4,0,0,0,0,as player,plyr/mgr: 1905-1914
70,Bobby Bragan,7,1956,1966,443,478,0.481,6,-35,927,0,0,,4,7,5.7,19,0,0,0,0,as player,
71,Bob Brenly,4,2001,2004,303,262,0.536,0,41,565,11,9,0.55,1,5,2.1,11,2,1,1,1,as player,
72,Roger Bresnahan HOF,5,1909,1915,328,432,0.432,14,-104,774,0,0,,4,7,5.8,29,0,0,0,0,as player,plyr/mgr: 1909-1915
73,Otto Briggs,2,1927,1934,36,59,0.379,1,-23,96,0,0,,6,7,6.3,,0,0,0,0,as player,
74,Dave Bristol,11,1966,1980,657,764,0.462,3,-107,1424,0,0,,3,7,4.9,37,0,0,0,0,,
75,Daren Brown,1,2010,2010,19,31,0.38,0,-12,50,0,0,,4,4,4,0,0,0,0,0,,
76,Freeman Brown,1,1882,1882,9,32,0.22,0,-23,41,0,0,,8,8,8,0,0,0,0,0,,
77,Jim Brown,3,1929,1932,128,119,0.518,1,9,248,0,0,,3,12,4.7,,0,0,0,0,as player,
78,Larry Brown,6,1935,1948,176,267,0.397,13,-91,456,0,0,,4,6,5.2,,0,0,0,0,as player,
79,Mordecai Brown HOF,1,1914,1914,50,63,0.442,1,-13,114,0,0,,8,8,8,1,0,0,0,0,as player,plyr/mgr: 1914
80,Tom Brown,2,1897,1898,64,72,0.471,1,-8,137,0,0,,6,11,7.4,2,0,0,0,0,as player,plyr/mgr: 1897-1898
81,Earle Brucker,1,1952,1952,3,2,0.6,0,1,5,0,0,,6,6,6,0,0,0,0,0,as player,
