last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Richards, Trevor,670950,93.4,,,,84.1,85.1,,
López, Jorge,605347,97.3,97.7,,87.4,90,84.1,,
Alexander, Jason,669920,93.1,92.4,,81.2,81.5,,,
Jax, Griffin,643377,95.4,,,86.4,89.8,82.6,,
Phelps, David,475479,93.2,93.2,89.8,,86.5,81.7,,
Wick, Rowan,592858,94.9,91.7,93.1,82.2,82.9,76.8,,
Smeltzer, Devin,656970,89.5,88.6,84.8,77.1,82.2,75.2,,
Zimmermann, Bruce,669145,90.6,90.5,,85.1,84.7,81,,
Pagán, Emilio,641941,95.6,,85.8,84.6,,80.2,88.4,
Barría, Jaime,642545,92,91.7,,85.3,85,,,
Doval, Camilo,666808,,98.4,99.4,87.7,,,,
Davis, Austin,656354,94.1,93.6,,80.5,86.3,77.7,,
Ruiz, José,614179,96.9,96,,,89.9,86.3,,
Winder, Josh,680739,94,,,84.3,88.9,81,,
Minter, A.J.,621345,96.6,,90.3,,87.6,,,
Soto, Gregory,642397,98.7,98.1,,89.3,91.8,,,
Stratton, Chris,608717,92.8,92.9,,86.7,86.8,80.8,,
Hernandez, Elieser,622694,91.6,92,,80.1,84.6,,,
Montero, Rafael,606160,96.4,95.9,,87.9,91.1,,,
Brebbia, John,605154,94.4,,,84,,,,
Boxberger, Brad,502202,92.7,,,87.3,81.2,,,
Maton, Phil,664208,91,90.2,82.4,80.9,84.2,74.5,,
Milner, Hoby,571948,89.2,88.9,,,81.3,79.5,,
Leiter Jr., Mark,643410,91.1,90.9,87.3,79.4,84.2,73.2,,
Rogers, Taylor,573124,93.6,94.3,,80.9,,,,
Vest, Will,676684,95.1,95.3,,86.4,86.8,,,
Strickland, Hunter,519326,95,94.3,,84.8,89.8,,,
Germán, Domingo,593334,92.7,92.7,,,85.9,81,,
Sears, JP,676664,93.2,,,79.2,82.7,,,
Lugo, Seth,607625,94.4,94.4,,88.9,87.6,79.8,,
Kimbrel, Craig,518886,95.8,,,,,85.7,,
Tate, Dillon,622253,93,94,,80.4,83.9,,,
McHugh, Collin,543521,91,,88.9,80.2,,74.5,,
Puk, A.J.,640462,96.7,96.1,,86.9,89,,,
Beede, Tyler,595881,95.8,95.6,,88,84.8,79.1,,
Suter, Brent,608718,86.4,87.4,,,77.2,78.8,,
Williams, Devin,642207,93.9,,87,,83.4,,,
Crismatt, Nabil,622503,90.5,90,,84.7,82.7,73.2,,
Ottavino, Adam,493603,94.8,94.2,87.8,81,89.1,,,
Díaz, Alexis,664747,95.7,,,86.9,,81.4,,
Finnegan, Kyle,640448,,97,,89,,,88.6,
Robertson, David,502085,,,93,83.9,,84.7,,
Hicks, Jordan,663855,100.1,99.4,,84.7,92.1,,,
Armstrong, Shawn,542888,95.3,95.6,92.3,86.1,,,,
